"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Colombia","COL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.159838315183","159.000983593044","153.934957438765","152.594152865647","142.648147658162","115.410967379564","118.53847579047","115.721209773341","113.279591329149","117.696360080913","126.425680854464","129.621223844555","130.291396123699","105.721922063639","90.0090118005007","79.4392532299114","76.2557105643612","73.7446446758423","68.6045033383021","66.3916016288632","64.2053531963185","65.9534437956441","66.4798550044582","62.0996074201985","52.7740412426747","50.3386558315593","48.3247563091818","46.9495347162468","48.6292116932293","47.7253171911508","45.23542798783","51.5005926660189","",
"Colombia","COL","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286000","280000","103000","230000","157000","137000","224000","171000","139000","145000","139000","106000","134000","339000",
"Colombia","COL","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","29.8507461547852","","26.8656711578369","","27.3631839752197","27.3631839752197","31.25","30.2884616851807","34.1346168518066","35.5769233703613","34.6153831481934","36.0189590454102","36.0189590454102","39.4366188049316","40.3755874633789","38.9671363830566","38.9162559509277","39.4088668823242","42.8571434020996","42.3645324707031","42.9951705932617","44.9275360107422","43.4782600402832","41.062801361084","",
"Colombia","COL","Servicios de viaje (% de las exportaciones de servicios comerciales)","TX.VAL.TRVL.ZS.WT","","","","","","","","","29.220779220761","26.0115606936158","28.8770053476279","32.5471698113028","32.6732673267327","31.3043478260398","35.8108108108374","41.7607626135699","38.9944965767383","40.4598887502067","41.6988458403759","39.7937872772771","36.9399279028575","39.2150007554048","37.400575322872","28.6935286935287","27.1920088790233","23.3009708737864","38.7037037037037","30.8303886925795","33.551673944687","26.7571884984026","26.2273901808786","30.3896103896104","36.5005433938829","30.735102572452","43.9184723209213","40.5900835319551","53.114616626382","50.4666803057154","49.933006481799","50.1375821387104","51.5829332402583","57.0111932730182","53.0729468584919","47.997547370469","51.8412302634386","53.4024499129404","52.9131377296974","44.3301414435958","43.4872953861377","46.169067818727","47.1300289847924","46.7879463428337","46.4280985636495","44.0483932663883","45.3224731254994","50.8899973388235","52.7728255103283","52.4565783677301","53.243157476355","54.1933956224966","27.4907530302393","34.7308907258826","49.9603486374566",
"Colombia","COL","Exportaciones de servicios comerciales (US$ a precios actuales)","TX.VAL.SERV.CD.WT","","","","","","","","","153999999.999261","172999999.999234","186999999.998933","212631759.997867","219313420","274189899.999633","355981439.996327","419053650","553924319.999691","701929759.998534","745823999.998741","1062980000","1293992779.99951","1114369480","1294097739.99924","819000000","901000000","824000000","1080000000","1132000000","1374000000","1252000000","1548000000","1540000000","1932300000","2456800000","1501513497.96806","1617515986.3446","2109215600.44462","2067027519.30735","1857712934.5058","1849483621.75618","1997564669.69547","2135185303.29747","1821972845.37118","1861009111.78969","2366900715.44342","2882575485.78681","3619695111.98548","4495024074.16268","5385454830.43893","5284983746.21781","5933762826.4612","6433147648.63797","7452954562.10905","8197137789.25779","8439395682.15665","8342097449.39661","8569675597.74661","9380289037.35554","10557445955.7418","10485253589.9064","5703399351.32126","7894232836.23639","12510894357.3976",
"Colombia","COL","Mercaderías exportadas por la economía informante (US$ actuales)","TX.VAL.MRCH.WL.CD","465400000","435100000","464500000","447100000","548400000","538100000","507400000","509900000","561600000","608820000","728670000","686120000","860230000","1169350000","1409100000","1467010000","1742330000","2424170000","3036740000","3324470000","3942850000","2955350000","3094030000","3079960000","3482170000","3551430000","5107360000","5024240000","5024942000","5737917817","6752231577","7242511000","7062531000","7449343000","9033604563","9853993938","10431773860","11554526600","10873344156","11623740497","13042988168","12159795721","11448803801","12662508842","16157130939","20712429539","23274244009","28466880936","37072137062","32560287946","39353720070","55724018370","59618935461","58821860009","54794652251","35675657457","31390361512","37240881241","41819392864","39485080766","31053209022","","",
"Colombia","COL","Mercaderías exportadas hacia economías en desarrollo en Oriente Medio y Norte de África (% del total de mercaderías exportadas)","TX.VAL.MRCH.R4.ZS","","","","","0.0364697301239971","0.0743356253484482","0.0197083169097359","0.0392233771327711","0.144230769230769","0.16917972471338","0.0397985370606722","0.0772459628053402","0.152284854050661","0.277077008594518","0.215740543609396","0.189501094062072","0.392003810988733","0.231831925978789","1.67251723888117","1.43842477146733","1.51920565073487","1.1233864009339","0.750477532538469","0.901310406628657","1.50567031477498","1.84883272371974","0.194621095830331","0.431508048978552","1.19143663747761","0.0574385535853345","0.0508329277640828","0.120041239840713","0.156785152518269","0.300429178787982","0.106126584721971","0.286267316354016","0.200221911252206","0.159723047415893","0.0864839175977978","0.22360776212019","0.0837308357512266","0.0587690958299447","0.220620620625832","0.273010060102274","0.262004492999548","0.132173142452712","0.131916104291626","0.187140421599998","0.0920710854702439","0.405189592361107","0.209808350654358","0.178205710759477","0.117819455273484","0.146569061207532","0.19262280654053","0.244779912199951","0.299975270956988","0.388048781834142","0.258760289399499","0.338561467791427","0.756030939777184","","",
"Colombia","COL","Mercaderías exportadas hacia economías en desarrollo fuera de la región (% del total de mercaderías exportadas)","TX.VAL.MRCH.OR.ZS","0.0429737859905458","0.0229832222477591","0.129171151776103","0.134198165958399","0.12764405543399","0.260174688719569","0.0394166338194718","0.137281819964699","0.397079772079772","0.532176998127525","0.0727352573867457","0.252142482364601","0.763749229857131","0.442125967417796","0.42651337733305","0.263801882741086","0.621581445535576","0.268133010473688","1.73607223535765","1.79848216407427","1.86337294089301","1.34671020352919","1.1182826281581","1.27631527682178","1.69836624863232","2.38692582987698","0.43819115942483","0.757527506647772","1.97383372783208","0.163096079422289","0.285126225018393","0.568366413250874","0.666120969946893","0.901086176324543","0.71295564855466","1.14483187943686","1.04322081230392","1.33549772632831","0.983461485866722","1.0818928556815","1.21628090861272","0.976493517855208","1.24814229052924","2.24335712254581","2.42604481872362","2.68185725848373","3.60684589228928","4.52157386997826","2.39881299670622","6.59080621633026","8.24975306076573","7.0838423384864","11.0346338694751","15.7941782741629","18.430221640499","10.4993768776784","8.82529165820841","10.5794163368574","15.4674430449904","17.0384263232736","16.4257709062736","","",
"Colombia","COL","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","0.258359127594501","0.365102307892799","0.302189408105326","0.230000290535039","0.139722150685955","0.478580040539565","0.948853731852142","0.936168845378461","0.689007050259832","0.461239269838168","0.379435476667799","0.42813877581376","0.331837946903546","0.220591262944789","0.222527623949646","0.144895764358682","0.162634441303031","0.204462643439781","0.234767588678492","0.209199179819177","0.126507938128978","0.135191242278286","0.353624172369355","0.414907632261246","0.333614823805262","0.191433365963724","","","","0.274800798681609","0.255494444346662","0.426894744823821","0.882108533692113","0.600806217316927","0.557599755047315","0.533180015331823","0.631338563007447","0.679749505864758","0.663275879909817","0.810077376530152","0.825699801958899","1.01255652251846","1.2620352687624","1.34002058452425","2.38449374633024","2.34100721501799","1.99773759376982","1.57475366846857","1.5548615358086","1.18351924617809","1.08359471000988","1.09600943006824","0.968201673645253","1.26412035679976","1.16347146041294","1.24583665497229","1.19144344591569","1.04528557470578","1.30101834218228","1.65857830550253","",
"Colombia","COL","Exportaciones de combustible (% de exportaciones de mercaderías)","TX.VAL.FUEL.ZS.UN","","","14.6568619983707","18.3154118487057","15.1229754635789","17.8211047263967","16.0323965251972","14.6472634224555","9.09278922851455","12.7735924292945","10.0584173055166","10.1819163197839","7.56453680421937","5.26724656749351","8.27558380386749","7.209939854571","4.0707605431576","3.92319924617463","4.309938455958","3.99277809760583","2.84811271424912","1.54724061926518","7.44796547824489","14.6539503043317","14.8671728425286","16.2812150709342","13.0194028266415","32.5249245387978","","","","28.7654741799276","28.5097083217105","26.4990782698671","21.8458297373462","27.2317543704497","35.9490615649947","31.3668639504452","30.2541163556531","40.4790768527767","43.079504613909","36.2987158428522","35.9187562462727","37.1903540205232","36.9076955307127","39.2456236749078","38.4317055772282","36.2508073999514","45.9657263851576","48.3004439860279","57.1597814442562","64.8290275394886","65.7196385483131","66.7714032360418","65.573054598972","52.7863528817984","47.4972851001361","54.1370602858504","57.8787906155164","54.6948856458005","41.5564453985501","46.303559002575","",
