Unnamed: 0,headers_text,headers_link
1800,"Choques entre campesinos y el Esmad por proyecto petrolero en Guamal
lun, 24 jul 2017
En la mañana de este lunes se escribió un nuevo capítulo de los conflictos socioambientales generados por la industria petrolera en el país. Agentes del ...",https://www.semana.com/esmad-y-campesinos-chocan-por-proyecto-petrolero-en-guamal/38270/
1801,"¿Qué pasa con los Cerros Orientales?
mar, 8 ago 2017
LOS CERROS ORIENTALES Y LA FRANJA DE ADECUACIÓN ¿Qué? Es la intención de la Alcaldía de Bogotá por cambiar el uso de los suelos en ...",https://www.semana.com/cerros-orientales-que-ocurre-quiere-o-no-la-alcaldia-urbanizarlos/38373/
1802,"Calcular nuestro impacto en la naturaleza y cómo tomar acciones
mar, 18 jul 2017
La presidente y fundadora de la asociación franco-colombiana de conservación del bosque Envol Vert habló con Semana Sostenible sobre estas dos herramientas y de cómo ...",https://www.semana.com/pacto-biodiversidad-y-huella-forestal-calcular-nuestro-impacto-y-tomar-accion/38239/
1803,"Avanzan labores para salvar a jaguares y pumas en fincas del Caquetá
mar, 18 jul 2017
La deforestación, los cultivos ilícitos y la ganadería extensiva han reducido considerablemente el hábitat de jaguares y pumas. Esto ha generado que cada vez sea ...",https://www.semana.com/corpoamazonia-busca-ayuda-para-salvar-a-jaguares-y-pumas/38240/
1804,"“El petróleo amenaza el páramo, el agua y la seguridad alimentaria”
mié, 24 may 2017
El auge de las consultas populares sigue creciendo en el país. Esta semana se conoció que el Tribunal Administrativo de Cundinamarca declaró la constitucionalidad de ...",https://www.semana.com/alcalde-de-pasca-petroleo-amenaza-paramo-agua-y-seguridad-alimentaria/37894/
1805,"El cultivo de palma aceitera seca a los Montes de María
mar, 6 jun 2017
Por: Pablo Rodero y María Rado para Semana Sostenible y Mongabay Latam. En Palo Altico nunca hubo acueducto ni agua potable. Sin embargo, ese nunca ...",https://www.semana.com/palma-aceitera-y-su-cultivo-seca-a-los-montes-de-maria-en-bolivar/37966/
1806,"“En Sudamérica falta articulación para la conservación de especies”
jue, 18 may 2017
Durante los últimos 30 años, el argentino Enrique Crespo se ha dedicado a la investigación de cetáceos como el delfín de río. Hoy es un ...",https://www.semana.com/medio-ambiente/articulo/delfines-en-el-amazonas-en-peligro-enrique-crespo-dice-que-no-hay-articulacion/37833/
1807,"Las 8 cosas que debe saber sobre la consulta minera en Cajamarca
dom, 26 mar 2017
El domingo 26 de marzo será un día histórico para la minería en Colombia. En Cajamarca, un municipio tolimense ubicado a 45 minutos de Ibagué, ...",https://www.semana.com/cajamarca-8-cosas-que-debe-saber-sobre-la-consulta/37400/
1808,"Simios amenazados por comercio de cráneos y partes del cuerpo
jue, 23 feb 2017
Por: Mongabay Latam - Eugene N. Nforngwa / Traducido por Isabel Beguiristáin Nidos, huellas y excrementos han dirigido a los primatólogos hasta nuevas poblaciones de ...",https://www.semana.com/simios-de-camerun-amenazados-por-comercio-de-craneos-y-partes-del-cuerpo/37177/
1809,"La ganadería devora la reserva Bosawas en Nicaragua
mar, 28 feb 2017
Por: Michelle Carrere / Mongabay Latam Unas cuantas horas en mula hacen falta para llegar, desde el camino ripiado en las cercanías de Siuna, a ...",https://www.semana.com/ganaderia-devora-la-reserva-bosawas-en-nicaragua/37206/
