Unnamed: 0,headers_text,headers_link
1500,"Cambian bolsas y cajas de leche usadas por árboles
jue, 10 sept 2020
A diario miles de bolsas y cajas de leche son desechadas y terminan siendo vertidas en los rellenos sanitarios. Un solo envase de tetrapak puede ...",https://www.semana.com/medio-ambiente/articulo/cambian-bolsas-y-cajas-de-leche-usadas-por-arboles-en-boyaca-i-colombia-noticias/55152/
1501,"Lanzan concurso de dibujo en el Día del Árbol
mié, 29 abr 2020
En Colombia desde 1941, todos los 29 de abril, se conmemora el Día Nacional del Árbol por disposición del expresidente Eduardo Santos, quien decidió unirse ...",https://www.semana.com/medio-ambiente/articulo/lanzan-concurso-de-dibujo-en-el-dia-del-arbol/50460/
1502,"El árbol chino que amenaza la biodiversidad en Boyacá
mié, 31 jul 2019
Desde hace unos cinco años comenzó a ingresar al país el kiri, conocido científicamente como Palownia Tomentosa, un árbol chino que ha generado señales",https://www.semana.com/medio-ambiente/articulo/kiri-la-planta-china-que-amenaza-la-biodiversidad-en-boyaca/45204/
1503,"El ganadero que le apostó a los árboles
vie, 1 feb 2019
Hace un poco más de 20 años, Jorge Bazante llegó a Bogotá, proveniente de Salamina, Caldas, con la idea de convertirse en abogado. Como tiene ...",https://www.semana.com/medio-ambiente/articulo/el-ganadero-que-le-aposto-a-los-arboles/42830/
1504,"El árbol milagroso que puede ayudar a combatir la destrucción de los bosques
jue, 31 oct 2019
Los árboles que ayudan a mantener la fertilidad del suelo podrían disminuir o detener la desforestación en la Amazonia brasileña. Ese es el objetivo de ...",https://www.semana.com/medio-ambiente/articulo/deforestacion-en-la-amazonia-el-arbol-milagroso-que-puede-ayudar-a-combatir-la-destruccion-de-los-bosques/47373/
1505,"El árbol chino declarado ‘planta no grata’ en Colombia
lun, 26 nov 2018
Colombia recomendó declarar este frondoso árbol, conocido con el nombre científico de Paulownia tomentosa , como de “alto riesgo de invasión”. Aún",https://www.semana.com/medio-ambiente/articulo/el-arbol-chino-declarado-planta-no-grata-en-colombia/42203/
1506,"Amazonas: un respiro en el ‘pulmón del mundo’, hoy más verde y sostenible que nunca ...
mié, 9 ago 2023
Arribar al Amazonas es abrirle los brazos a la selva y permitirle que arrebate los vicios de la ciudad. No hay que caminar rápido. Tampoco ...",https://www.semana.com/nacion/medio-ambiente/articulo/amazonas-un-respiro-en-el-pulmon-del-mundo-hoy-mas-verde-y-sostenible-que-nunca-gracias-a-sus-pobladores-indigenas/202324/
1507,"Amenazado periodista de El Heraldo por denunciar irregularidades en la CRA
mié, 1 abr 2009
El veterano periodista barranquillero del diario El Heraldo, José Granados denunció que fue objeto de amenazas en la mañana de hoy por un individuo que ...",https://www.semana.com/nacion/medio-ambiente/articulo/amenazado-periodista-el-heraldo-denunciar-irregularidades-cra/101691-3/
1508,"La garrotera por la CRA se salió de madre
mar, 31 mar 2009
Su actual director, Alberto Pérez Jubiz, se encuentra detenido acusado de los delitos de falsedad y peculado; un consejero de la junta directiva, Cesar Otero ...",https://www.semana.com/la-garrotera-cra-salio-madre/101638-3/
1509,"Día del río Bogotá: Distrito adelantará actividades pedagógicas y recreativas en 13 localidades
jue, 11 may 2023
Cada 12 de mayo la ciudad conmemora el Día del Río Bogotá, una oportunidad especial para recordar la importancia de promover acciones que contribuyan al ...",https://www.semana.com/sostenibilidad/medio-ambiente/articulo/dia-del-rio-bogota-distrito-adelantara-actividades-pedagogicas-y-recreativas-en-13-localidades/202309/
