Unnamed: 0,headers_text,headers_link
900,"No todos critican a Trump
vie, 2 jun 2017
El anuncio de la salida de Estados Unidos del Acuerdo de París realizado por Donald Trump el pasado primero de junio generó conmoción en el ...",https://www.semana.com/putin-y-bjorn-lomborg-no-critican-a-trump-sobre-el-acuerdo-de-paris/37951/
901,"¿Por qué Nicaragua no firma el Acuerdo de París?
jue, 8 jun 2017
Cuando las delegaciones de negociación de todo el mundo celebraron el acuerdo conseguido en la Conferencia sobre Cambio Climático (COP 21) en París en diciembre ...",https://www.semana.com/nicaragua-no-firma-el-acuerdo-de-paris-por-que-/38007/
902,"“El futuro del humano depende de los primates”
jue, 8 jun 2017
Hace unas semanas la prestigiosa revista Journal Science Advances publicó el estudio más detallado hasta la fecha sobre la situación de los primates a nivel ...",https://www.semana.com/sam-shanee-de-npc-el-futuro-del-humano-depende-de-los-primates/38009/
903,"El increíble descubrimiento de cangrejos cavernícolas en Colombia
jue, 15 jun 2017
Se trata de tres hembras y un macho Neostrengeria fernandezi , además de tres ejemplares machos de Neostrengeria lassoi hallados durante exploraciones del Instituto Humboldt, ...",https://www.semana.com/cangrejos-cavernicolas-descubierrtos-recientemente-en-colombia/38059/
904,"La Tierra pide ayuda en su día
vie, 21 abr 2017
Más que una bonita conmemoración, el 22 de abril es un llamado a la acción urgente ante la falta de soluciones que aseguren la viabilidad ...",https://www.semana.com/dia-de-la-tierra-2017-el-planeta-pide-ayuda/37612/
905,"En el Día Mundial del Pingüino la Antártida pide ayuda
mar, 25 abr 2017
El mundo tiene que hacer más para proteger el océano Antártico y su fauna, alertaron científicos este martes, en el Día Mundial del Pingüino. Estas ...",https://www.semana.com/dia-mundial-del-pinguino-la-antartida-clama-por-ayuda/37635/
906,"Agua residual: el recurso del futuro
vie, 28 abr 2017
El agua es el principal componente de toda la vida en la Tierra. Pero luego de que la utilizamos, ya sea en el hogar, en ...",https://www.semana.com/agua-residual-el-recurso-del-futuro/37667/
907,"¡Salud! por los viñedos sostenibles
mar, 2 may 2017
Cada vez más los consumidores se preocupan porque los productos no tengan un impacto negativo sobre su salud ni el medioambiente. Por esta razón muchos ...",https://www.semana.com/vinedos-y-vino-sostenible-en-el-mundo/37685/
908,"Perú: el mono choro de cola amarilla se aferra a la vida en los bosques ...
jue, 18 may 2017
Por: Jack Lo Lau / Mongabay Latam Leyda Rimarachín se fue haciendo bióloga desde los tres años. Sus padres dejaron la ciudad de Cajamarca y ...",https://www.semana.com/peru-el-mono-choro-de-cola-amarilla-se-aferra-a-la-vida-en-los-bosques-nublados/37831/
909,"Uno de cada cuatro niños carecerá de agua en 2040
mié, 22 mar 2017
En una investigación publicada en el Día Mundial del Agua , la agencia de Naciones Unidas para la Infancia (Unicef) advirtió que en poco más ...",https://www.semana.com/agua-en-el-mundo-uno-de-cada-cuatro-ninos-carecera-de-agua-en-2040/37366/
